tissue,sp_ref,path_ref,name_ref,sp_simple_ref,sp_que,path_que,name_que,sp_simple_que,key_cell_type
Adrenal-Gland,human,healty/HCL_Adrenal-Gland,h_adr,h,mouse,healty/MCA_Adrenal-Gland,m_adr,m,CL
Bone-Marrow,human,healty/HCL_Bone-Marrow,h_bon,h,mouse,healty/MCA_Bone-Marrow,m_bon,m,CL
Brain,human,healty/HCL_Brain,h_bra,h,mouse,healty/MCA_Brain,m_bra,m,CL
Heart,human,healty/HCL_Heart,h_hea,h,mouse,healty/MCA_Heart,m_hea,m,CL
Intestine,human,healty/HCL_Intestine,h_int,h,mouse,healty/MCA_Intestine,m_int,m,CL
Kidney,human,healty/HCL_Kidney,h_kid,h,mouse,healty/MCA_Kidney,m_kid,m,CL
Liver,human,healty/HCL_Liver,h_liv,h,mouse,healty/MCA_Liver,m_liv,m,CL
Lung,human,healty/HCL_Lung,h_lun,h,mouse,healty/MCA_Lung,m_lun,m,CL
Pancreas,human,healty/HCL_Pancreas,h_pan,h,mouse,healty/MCA_Pancreas,m_pan,m,CL
Spleen,human,healty/HCL_Spleen,h_spl,h,mouse,healty/MCA_Spleen,m_spl,m,CL
Stomach,human,healty/HCL_Stomach,h_sto,h,mouse,healty/MCA_Stomach,m_sto,m,CL
Adrenal-Gland,mouse,healty/MCA_Adrenal-Gland,m_adr,m,human,healty/HCL_Adrenal-Gland,h_adr,h,CL
Bone-Marrow,mouse,healty/MCA_Bone-Marrow,m_bon,m,human,healty/HCL_Bone-Marrow,h_bon,h,CL
Brain,mouse,healty/MCA_Brain,m_bra,m,human,healty/HCL_Brain,h_bra,h,CL
Heart,mouse,healty/MCA_Heart,m_hea,m,human,healty/HCL_Heart,h_hea,h,CL
Intestine,mouse,healty/MCA_Intestine,m_int,m,human,healty/HCL_Intestine,h_int,h,CL
Kidney,mouse,healty/MCA_Kidney,m_kid,m,human,healty/HCL_Kidney,h_kid,h,CL
Liver,mouse,healty/MCA_Liver,m_liv,m,human,healty/HCL_Liver,h_liv,h,CL
Lung,mouse,healty/MCA_Lung,m_lun,m,human,healty/HCL_Lung,h_lun,h,CL
Pancreas,mouse,healty/MCA_Pancreas,m_pan,m,human,healty/HCL_Pancreas,h_pan,h,CL
Spleen,mouse,healty/MCA_Spleen,m_spl,m,human,healty/HCL_Spleen,h_spl,h,CL
Stomach,mouse,healty/MCA_Stomach,m_sto,m,human,healty/HCL_Stomach,h_sto,h,CL
